Agbẹ́lẹ̀, n
Agbẹ́máyé, n
Àgbẹsi, n
Ẹ̀gbẹsì, n
Àgbìgbò, n
Agbipò, n
Àgbìrà, n
Agbíyèléni, n
Àgbò, n
Àgbo, n
Agbo, n
Agbo-àgbado, n
Agbo-àgùntàn,  n
Agbódegbà, n
Àgbódo, n
Agbo-ilé, n
Agbójúlógún, n
Agbómigbélẹ̀, n
Agbóòrùn, n
Àgbóòrùn, n
Agbowóde, n
Agbọ̀n, n
Agbọ́n, n
Àgbọ̀n, n
Àgbọn, n
Agbọ́n béré, n
Agbọ́nmu, adj
Àgbónnìrègún, n
Àgbọ̀nrín, n
Agbọ̀ràndùn, n
Agbọ́ekusọfẹ́yẹ, n
Agbọ́tí, n
Àgbọ́ya, n
Agbọ́yísọ̀yí, n
Àgé, n
Àgégbà, adv
Àgéja, adv
àgétan, adv
Agère, n
Agẹ̀, n
Agẹdẹmgbẹ, n
Agẹmọ, n
Àgẹrẹ, n
Agida, n
Àgidi, n
Àgidí, n
Agídi, n
Agídi, n
Agílítí, n
Aginjù, n
Àginipa, n
Aginiṣọ, n
Àgira, n
Àgiraṣẹ, adj
Agiyàn, n
Ago, n
Àgó, n
Àgò, n
Agódo, n
Agódongbo, n
Agogo, n
aago, n
Agogo, n
Agogo-ẹyẹ, n
Àgógo-igún, n
Agoro, n
Agọ̀, n
Àgọ́, n
Agọ̀, n
Àgọ́-búkà, n
Agọni, n
Agọ̀pẹ, n
Aguda, n
Àguala, n
Àgufọn, n
Agúnà, n
Àgùnbánirọ̀, n
Agúnbẹ, n
Àgúnjẹ, n
Àgúnlá, n
Àgunmọna, n
Àgúnnmu, n
Àgùntàn, n
Ahá, n
Ahágún, n
Ahále, n
Àhámọ́, n
Ahán-ẹkùn, n
Ahánhán, n
ahánrinhán, n
Àhàyá, n
Ahéré, n
Àhesọ, n
Ahẹrẹpẹ, adj
Ahoro, n
Ahọ́n,  n
Ahọ́n-iná, n
Ahùmọ, n
Ahun, n
awun, n
Àhusọ, n
Ahusọ-ọ̀rọ̀, n
Àhutu-ikọ́, n
Àìbalẹ̀-ọkàn, n
Àìbalẹ̀-àyà, n
Àìbéèrè, n
Àìbẹ̀rù, adj
Àìbí, n
Àìbímọ, n
Àìbìkítà, n
Àìbo, n
Àìbójútó, n
Àìbójúwò, n
Àìbora, adj
Àìbọ́jú, n
Àìbọláfún, n
Àìbọ̀wọ̀fún, n
Àìbọ̀wọ̀fún-ọlọ́run, n
Àìbu, n
Àìbuwó, n
Àìdá, adj
Àìdá-ara, n
n Àìdába, n
Àìdàbí, n
Àìdábọ̀, adj
Àìdájú, n
Àìdálù, adj
Àìda-oúnjẹ, n
Àìdára, n
Àìdáwà, n
Àìdáwo, n
Àìdáwọ́dúró, n
Àìdélé, n
Àìdẹ, adj
Àìdẹ, adj
Àìdẹ́bifún, adj
Àìdíbàjẹ́, n
Àìdíbàlẹ́, adj
Àìdidé, n
Àìdira, n
Àìdíyelé, adj
Àìdógun, adj
Àìdóju, adj
Àìdọ́gba, n
Àìdún, adj
Àìdùn, n
Àìdùn, adj
Àìdùn-inú, n
Àìdúpẹ́, n
Àìdúpẹ, adj
Àìdúró, n
Àìdúró-níbìkan, n
ra, n
Àìfèsì, n
Àìfetísílẹ̀, n
Àìfẹ́, n
Àìfẹ́ni, n
Àìfẹ́ran-ẹni, n
Àìfidù, n
Àìfifalẹ̀, n
Àìfifẹ́ṣe, n
Àìfigbè, n
Àìfijì, n
Àìfín, adj
Àìfipeǹkan, n
Àìfinkanpè, n
Àìfisùn, adj
Àìfiṣeré, n
Àìfiṣiré, n
Àìfiyèsí, n
Àìfó, adj
Àìfòòró, adj
Àìfòyà, n
Àìfọhùn, n
Àìfọ́jú, n
Àìfọkàntán, n
Àìfọn, n
Àìgbá, adj
Àìgbà, n
Àìgbàgbé, n
Àìgbàgbọ́, n
Àìgbàwé, n
Àìgbàwíwà-ọlọ́run-gbọ́, n
Àìgbédè, n
Àìgbéjẹ́, n
Àìgbéraga, n
Àìgbẹ, n
Àìgbẹsẹ̀, adj
Àìgbẹṣẹ, n
Àìgbó, n
Àìgbò-àyẹ̀, n
Àìgbófo, n
Àìgbógi, n
Àìgbójú, n
Àìgbojúfún, n
Àìgbọ́nà, n
Àìgbónà-àtùtù, n
Àìgbónú, n
Àìgbòòrò, n
Àìgbóyà, n
Àìgbóye, n
Àìgbọ́, n
Àìgbọ́dọ̀, n
Aìgbọ́dọ̀máṣe, n
Àìgbọ́n, n
Àìgbọ́nràn, n
Àìgbóró, n
Àìgùn, n
nÀìgún, n
Àìhá, adj
Àìhalẹ̀, adj
Àìhàn, n
Àìhán, n
Àìjánà, n
Àìjẹ, n
àìjẹun, n
Àìjẹ́wọ́, n
Àìjìnná, adj
Àìjìnnà, adj
Àìjinnú, adj
Àìjíròrò, n
Àìjìya, n
Àìjìyà, adj
Àìjiyàn, adj
Àìkà, adj
Àìká, adj
Àìkánjú, n
Àìkáànú, n
Àìkápá, n
Àìkáwọ́, n
Àìkàsí, n
Àìkáṣà, n
Àìké, adj
Àìgé, adj
Àìké, adj
Àìkéde, adj
Àìkékúrú, adj
Àìkére, adj
Àìkéèrí, adj
Àìkẹ́, adj
Àìkè, adj
Àìkó-ẹnu, n
Àìkọ̀, adj
Àìkọ́, adj
Àìkọlà, adj
Àìkọ́lé, adj
Àìkọ́minú, n
Àìkọsẹ̀, n
Àìkọ́ṣẹ́, n
Àìkọ́we, n
Àìkọ̀wé, n
Àìkú, n
Àìkù, n
Àìkúgbe, n
Àìkùn, n
Àìkùnà, n
Àìkúnná, n
Àìlà, adj
Àìlábá, adj
Àìláàbò-òfin, n
Àìlàbú, n
Àìlábùkù, n
Àìlábùku, adj
Àìlábùlà, adj
Àìládùn, adj
Àìládùn, n
Àìláfẹ́fẹ́, adj
Àìlágbára, n
Àìlágbára, adj
Àìlàágùn, n
Àìlahùn, n
Àìláhun, n
Àìláyà, n
Àìláájò, n
Àìláàlà, n
Àìláǹfààní, n
Aìláníyàn, n
Àìláànú, n
Àìlárá, n
Àìlára, n
Àìláre, n
Àìlárekérekè, n
Àìláya, n
Àìle, n
Àìlé, n
Àìlebajẹ́, n
Àìledíyelé, adj
Àìlejà, n
Àìlelára, n
Àìlera, n
Àìlérè, n
Àìléèrí, n
Àìléèérí, adj
Àìleríbẹ̀, n
Àìléru, n
Àìléso, n
nÀìleṣe, n
Àìleṣìnà, n
Àìlétí, n
Àìléwé, adj
Àìléwu, n
Àìlẹ́bi, n
Àìlẹ́bùn, n
Àìlẹ́gàn, n
Àìlẹ́gbẹ, adj
Àìlẹ́jẹ̀, adj
Àìlẹ́ka, adj
Àìlẹ́mí, adj
Àìlẹ́rí, adj
Àìlẹ́sẹ̀ńlẹ̀, adj
Àìlẹ́ṣẹ̀, n
Àìlẹ́tàn, n
Àìlẹ́wà, n
Àìlẹ́yẹ, n
Àìlò, n
Àìlófin, n
Àìlójú, n
Àìlójútì, n
Àìlókìkí, adj
Àìlókun, adj
Àìlómi, adj
Àìlópin, adj
Àìlórí, adj
adjÀìlórúkọ, adj
Àìlówó, n
Àìlóye, n
Àìlóyè, n
Àìlóyún, n
Àilọ̀, adj
Àìlọ́ba, n
Àìlọ́mọ, n
Àìlọ́rá, n
Àìlọ́ra, n
nÀìlọ́rọ̀, n
Àìlọ́wọ́, n
wọ̀, n
Àìlu, n
Àìlu, adj
Àìmáradúró, n
Àìmèrò, n
Àìmòfin, n
Àìmoye, n
Àìmọ̀, n
Àìmọ́, adj
Àìmọ-méjì, n
Àìmọníwọ̀n, n
Àìmọníwọ̀n, adj
Àìmọra, n
Àìmọ̀wàáhù,  n
Àìmọ̀wé, n
Àìmòye, adj
àìmọye, adj
Àìmu, n
Àìmúra, n
Àìmúragírí, n
Àìnà, adj
Àìnáání, n
Àìní, n
Àìníbababa, n
Àìníbàbá, n
Àìníbẹ̀rù, n
Àìníbò, n
Àìníbùgbé, n
Àìnídájú, n
Àìnídí, n
Àìnífẹ́, n
Àìnígbẹ́kẹ̀lé, n
Àìnígboná, n
Àìníláárí, n
Àìnímí, n
Àìnípá, n
Àìnípalára, adj
Àìníparamọ́, n
Àìnípá, adj
nÀìnípẹ̀kun, adj
Àìnípín, n
Àìníra, n
Àìnírètí, n
Àìnírọra, n
Àìnírun, n
Àìnírungbọ̀n, n
Àìnísàlẹ̀, adj
Àìnísùúrù, n
Àìníṣẹ́, n
Àìnítìjú, n
Àìnítùnú, n
Àìnítura, n
Àìníwà, n
Àìníwàrere, n
Àìníyá, n
Àìníye, adj
\Àìníyelórí, n
Àìníyènínú, n
Àìníyìn, adj
Àìpadà, n
Àìparí, adj
Àìpé, n
Àìpe, adj
Àìpéníyè, n
Àìperí, n
Àìpèsè, adj
Àìpoèsèsílẹ̀, n
Àìpète, adj
Àìpẹ́, adv
Àìpẹ́gba-nǹkan-gbọ́, n
Àìpín, adj
Àìpinnu, n
Àìpìwàdà, n
Àìpo, adj
Àìpọ̀, n
Àìpọ́n, n
Àìpọ́n, adj
Àìpọ̀síhà-ẹnìkan, n
Àìran, n
Àìrán, adj
Àìrékọjá, n
Àìrelẹ̀, n
Àìretí, n
Àìrẹ́, n
Àìrẹ́, adj
Àìrẹ́pọ̀, n
Àìrẹ́run, n
Àìrẹ̀wẹ̀sì, n
Àìrí, n
Àìri, adj
Àìríran, n
Àìrírí, adj
Àìrísọ, n
Àìríṣe, n
Àìrò, n
Àìró, adj
Àìròhìn, n
Àìrójú, n
Àìronú, n
Àìronúpìwàdà, n
Àìrorí, n
Àìrorò, n
Àìròtẹ́lẹ̀, adv
Àìrọ̀, adj
Àìrọ, adj
Àìrọ́ju, n
Àìrọ́pò, n
Àìrọra, n
Àìrọrùn, n
Àìrọsẹ̀, adj
Àìsàmì, adj
Àìsamìsí, adj
Àìsàn, n
Àìsan, n
Àìsanra, n
Àìsanwó, n
Àìsáré, n
Àìsè, adj
Àìsé, adj
Àiṣèso, adj
Àìsèso, n
Àìsẹ̀, n
Àìsẹ́, adj
Àìsí, n
Àìsiàn, n
Àìsí-àlàáfíà, n
Àìsí-àníàní, adv
Àìsí-àtìlẹ́hìn, n
Àìsíjà, n
Àìsílà, adj
Àìsíle, adj
Àìsimi, n
Àìsínikáwọ́, n
Àìsírànlọ́wọ́, n
Àìṣíṣẹ́, n
Àìsíwà, n
Àìsíyá, n
Àìsọ́lá, adj
aìsọ́là, adj
àìsọnù, adj
Àìsọ́raki, n
Àìsọ̀rọ̀, n
Àìsú, n
Àìsùn, n
Àìṣà, adj
Àìṣàn, n
Àìṣán, adj
Àìṣàánú, adj
Àìṣàárẹ̀, adj
Àìṣàárẹ̀, n
Àìṣàátá, n
Àìṣe, n
Àìṣebìkan, adj
Àìṣedéédé, n
Àìṣeféfé, n
, n
Àìṣègbè, n
Àìṣejù, n
Àìṣelékè, n
Àìṣàṣejù, n
Àìṣèmẹ́lẹ́, n
Àìṣènìyàn, n
Àìṣerú, n
Àìṣetààrà, n
Àìṣetara, n
Aìṣẹ, n
Àìṣẹ́, adj
Àìṣefẹ, n
Àìṣẹtan, n
Àìṣì, n
Àìṣiṣẹ́, n
Àìṣiyèméjì, n
Àìṣò, n
Àìṣòdodo, n
Àìṣògo, n
Àìṣojúsájú, n
Àìṣoore, n
Àìṣòótọ́, n
Àìṣọkan, n
Àìṣọ̀kànkan, n
Àìṣọpẹ́, n
Àìṣọ́ra, n
Àìṣọsọnú, n
Àìṣù, adj
Àìṣu, n
Àìṣubú, n
Àìṣúja, n
Àìṣúsí, n
Àìtà, n
Àìta, n
Àìtkò, n
Àìtán, n
Àìtara, n
Àìtasé, adj
Àìtayọ, n
Àìtète, n
Àìtẹ̀, n
Àìtẹ́jú, n
Àìtẹ́lọ́rùn, n
Àìnítẹ́lọ́rùn, n
Àìtẹríba, n
Àìtẹ́rùn, n
Àìtẹtísílẹ̀, n
Àìtó, n
Àìtóbi, n
Àìtó-nǹkan, n
Àìtóòtun, n
Àìtọ́, n
Àìtọ̀, n
àìletọ̀, n
Àìtọ́sofin, adj
Àìtù, adj
àìletù, adj
Àìtulójú, n
àìletùlójú, n
Àìtúmọ̀, n
Àìtunínú, n
Àìtúraká, n
Àìtutù, n
Àìtúwọka, n
Àìwà, n
àìsí, n
Àìwà, adj
Àìwà-bí-Ọlọ́run, n
Àìwàdi, adj
Àìwára, adj
Àìwẹ̀, n
Àìwò, n
Àìwolẹ̀, n
Àìwòye, n
Àìwọ́, adj
Àìwọ́pọ̀, n
Àìwú, adj
Àìwù, n
Àìwúkàrà, n
Àyà, n
Àyà-jíjá, n
Àyà-líle, n
Àìyannu, n
Àìyapa, n
Àìyara, n
Àìyàtọ̀, n
Ayé, n
Ayé-àjẹjù, n
Ayébáyé, n
Ayédèrú, n
Ayéjíjẹ, n
Ayékòótọ́, n
Ayélujára, n
Ayérayé, n
Àìyẹ, n
Àìyẹra, n
Àìyẹsẹ̀, n
Àìyẹ́sí, n
Àìyípadà, n
Ajá, n
Àjà, n
Àjà, n
Àjàá, n
Àjabọ́, n
Ajádì, adj
Ajadùn, n
Àjàgà, n
Àjàgàjígì, adj
Ajágbọn, n
Àjàgbulà, n
Ajagun, n
Jagunjagun, n
Ajagun-obìnrin, n
Àjàkálẹ̀-àrùn, n
Ajako, n
Àjaku, adj
Ajalélókun, n
Àjálù, n
Àjàmbàkù, n
Ajan, n
Àjànàkú,  n
Àjànàpá, n
Àjàó, n
Ajá-ọdẹ, n
Àjapá, n
Àjàpá, n
Ìjàpá, n
Àjàrà, n
Àjàsọ, n
Àjàṣẹ́, adj
Àjàtúká, n
Ajé, n
Aje, n
Àjèjé, n
Àjèjì, n
Àjèjì, adj
Ajénìyàn, n
Ajere, n
Àjẹ́, n
Àjẹ̀, n
Ajẹ̀, n
Àjẹbí, n
Àjẹbò, n
Ajẹbọ̀wábá, n
Ajẹ̀fọ́n, adv
nAjẹfọ́-jú, adv
Àjẹfọ́wo, n
Ajẹ́gbà, n
Àjẹgbé, n
Àjẹkẹ́hìn, n
Àjẹkì, n
Àjẹkù, n
Ajẹ́lẹ̀, n
Ajẹ̀nìyàn, n
Ajẹniníyà, n
Ajẹnirun, n
Ajẹpa, n
Àjẹpọ̀, n
Àjẹrá, n
Ajẹran, n
Ajẹ́ríku, n
Àjẹrun, n
Àjẹsára, n
Àjẹsẹ́, n
Ajẹṣin, n
Ajẹtẹ́rùn, n
Àjẹtì, n
Àjẹyó, adj
Ajibẹtẹ, n
Àjídèwe, n
Ajigbèsè, n
Ajíhìnrere, n
Ajil`ẹ, n
Àjìn, n
Àjínde, n
Ajinità, n
Àjírì, n
Ajírọ̀sọ, n
Àjísà, n
Àjò, n
Aájò, n
Ajogún, n
Àjóòkú, adj
Àjókù, n
Ajónirun, n
Ajóòpá, n
Àjóràn, adj
Àjọ, n
Àjọbí, n
Àjọdun, n
Àjọhùn, n
Àjo-ìgbìmọ̀, n
Àjọ-ìrékọjá, n
Àjọjẹ, n
Àjọjó, n
Ajọmọ̀, n
Àjọmu, n
Àjọpín, n
Àjọrìn, n
Àjọrò, n
Àjọsọ, n
Àjọṣe, n
Àjọyin-ìbọn, n
Àjọyọ̀, n
Àjùlọ, n
Àjumọdàpọ̀, n
Àjùmọ̀gbé, n
Àjùmọ̀jogún, n
Àjùmọ̀kà, n
Àjumọṣarólé, n
Àjùmọ̀ṣe, n
Àjùmọ̀ṣepọ̀, n
Àjúwe, n
Àpèjúwe, n
Àjúwe (nínú ìwé-àdúrà), n
Àka, n
Aaka, n
Àká, n
Àkàbà, n
àkàsọ̀, n
Àkagba, n
Àkaka, n
Àkàkún, n
Àkala, n
Akalambi, n
Àkámọ, n
Akàn, n
Akán, n
Àkàndùn, n
Àkàngbá, n
nAkánjú, n
Akankẹ̀kẹ́, n
Akankọ̀tà, n
Akanrun, n
Àkànṣe, adj
Àkantì, n
Akápò, n
Àkàrà, n
Àkàrá, n
Àkàrà-àdídùn, n
Àkàrà-àwọn, n
Àkárábá, n
Àkàraggbá, n
kàragbá, n
